time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
5.862484243853957e-06	-1.547484e-06
5.872484243853957e-06	-1.537128e-06
5.882484243853957e-06	-1.526627e-06
5.892484243853957e-06	-1.515983e-06
5.902484243853957e-06	-1.505197e-06
5.912484243853957e-06	-1.494271e-06
5.922484243853957e-06	-1.483206e-06
5.932484243853957e-06	-1.472004e-06
5.942484243853957e-06	-1.460667e-06
5.952484243853956e-06	-1.449196e-06
5.962484243853956e-06	-1.437592e-06
5.972484243853956e-06	-1.425858e-06
5.982484243853956e-06	-1.413995e-06
5.992484243853956e-06	-1.402004e-06
6.002484243853956e-06	-1.389888e-06
6.012484243853956e-06	-1.377648e-06
6.022484243853956e-06	-1.365285e-06
6.032484243853956e-06	-1.352802e-06
6.042484243853956e-06	-1.340199e-06
6.052484243853956e-06	-1.327480e-06
6.062484243853955e-06	-1.314645e-06
6.072484243853955e-06	-1.301697e-06
6.082484243853955e-06	-1.288637e-06
6.092484243853955e-06	-1.275467e-06
6.102484243853955e-06	-1.262189e-06
6.112484243853955e-06	-1.248804e-06
6.122484243853955e-06	-1.235315e-06
6.132484243853955e-06	-1.221723e-06
6.142484243853955e-06	-1.208031e-06
6.152484243853955e-06	-1.194239e-06
6.162484243853954e-06	-1.180351e-06
6.172484243853954e-06	-1.166368e-06
6.182484243853954e-06	-1.152292e-06
6.192484243853954e-06	-1.138125e-06
6.202484243853954e-06	-1.123868e-06
6.212484243853954e-06	-1.109525e-06
6.222484243853954e-06	-1.095097e-06
6.232484243853954e-06	-1.080586e-06
6.242484243853954e-06	-1.065994e-06
6.252484243853954e-06	-1.051324e-06
6.262484243853954e-06	-1.036577e-06
6.272484243853953e-06	-1.021756e-06
6.282484243853953e-06	-1.006863e-06
6.292484243853953e-06	-9.919004e-07
6.302484243853953e-06	-9.768702e-07
6.312484243853953e-06	-9.617750e-07
6.322484243853953e-06	-9.466172e-07
6.332484243853953e-06	-9.313994e-07
6.342484243853953e-06	-9.161241e-07
6.352484243853953e-06	-9.007940e-07
6.362484243853953e-06	-8.854119e-07
6.372484243853952e-06	-8.699804e-07
6.382484243853952e-06	-8.545027e-07
6.392484243853952e-06	-8.389817e-07
6.402484243853952e-06	-8.234208e-07
6.412484243853952e-06	-8.078233e-07
6.422484243853952e-06	-7.921926e-07
6.432484243853952e-06	-7.765325e-07
6.442484243853952e-06	-7.608471e-07
6.452484243853952e-06	-7.451405e-07
6.462484243853952e-06	-7.294171e-07
6.472484243853951e-06	-7.136818e-07
6.482484243853951e-06	-6.979396e-07
6.492484243853951e-06	-6.821962e-07
6.502484243853951e-06	-6.664575e-07
6.512484243853951e-06	-6.507299e-07
6.522484243853951e-06	-6.350205e-07
6.532484243853951e-06	-6.193370e-07
6.542484243853951e-06	-6.036876e-07
6.552484243853951e-06	-5.880817e-07
6.562484243853951e-06	-5.725292e-07
6.572484243853951e-06	-5.570412e-07
6.582484243853950e-06	-5.416300e-07
6.592484243853950e-06	-5.263091e-07
6.602484243853950e-06	-5.110934e-07
6.612484243853950e-06	-4.959995e-07
6.622484243853950e-06	-4.810457e-07
6.632484243853950e-06	-4.662527e-07
6.642484243853950e-06	-4.516431e-07
6.652484243853950e-06	-4.372423e-07
6.662484243853950e-06	-4.230787e-07
6.672484243853950e-06	-4.091839e-07
6.682484243853949e-06	-3.955932e-07
6.692484243853949e-06	-3.823460e-07
6.702484243853949e-06	-3.694866e-07
6.712484243853949e-06	-3.570644e-07
6.722484243853949e-06	-3.451347e-07
6.732484243853949e-06	-3.337594e-07
6.742484243853949e-06	-3.230081e-07
6.752484243853949e-06	-3.129585e-07
6.762484243853949e-06	-3.036977e-07
6.772484243853949e-06	-2.953236e-07
6.782484243853949e-06	-2.879457e-07
6.792484243853948e-06	-2.816866e-07
6.802484243853948e-06	-2.766841e-07
6.812484243853948e-06	-2.730924e-07
6.822484243853948e-06	-2.710844e-07
6.832484243853948e-06	-2.708538e-07
6.842484243853948e-06	-2.726176e-07
6.852484243853948e-06	-2.766189e-07
